samplename,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1101:10002:2796__kiwi2020__AG0529-0387__515f,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Kribbellaceae,Kribbella,
M00598:87:000000000-J7KGW:1:1101:10023:8825__kiwi2020__AG0529-0351__515f,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,
M00598:87:000000000-J7KGW:1:1101:10070:25369__kiwi2020__AG0529-0377__515f,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Subtercola,
M00598:87:000000000-J7KGW:1:1101:10071:10594__kiwi2020__AG0529-0531__515f,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
M00598:87:000000000-J7KGW:1:1101:10074:13059__kiwi2020__AG0529-0039__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,
M00598:87:000000000-J7KGW:1:1101:10144:9770__kiwi2020__AG0529-1113__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
M00598:87:000000000-J7KGW:1:1101:10210:23770__kiwi2020__AG0529-0363__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto,
M00598:87:000000000-J7KGW:1:1101:10286:8242__kiwi2020__AG0529-0543__515f,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
M00598:87:000000000-J7KGW:1:1101:10293:15513__kiwi2020__AG0529-1097__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,
M00598:87:000000000-J7KGW:1:1101:10305:11256__kiwi2020__AG0529-0718__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,
M00598:87:000000000-J7KGW:1:1101:10353:22707__kiwi2020__AG0529-1021__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,
M00598:87:000000000-J7KGW:1:1101:10355:14698__kiwi2020__AG0529-0877__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,
M00598:87:000000000-J7KGW:1:1101:10454:5837__kiwi2020__AG0529-0342__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cuneatibacter,
M00598:87:000000000-J7KGW:1:1101:10480:4973__kiwi2020__AG0529-0486__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,
M00598:87:000000000-J7KGW:1:1101:10482:13237__kiwi2020__AG0529-0445__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Paenochrobactrum,
M00598:87:000000000-J7KGW:1:1101:10493:7005__kiwi2020__AG0529-0143__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus2,
