OTU,AG0529.0008,AG0529.0009,AG0529.0013,AG0529.0016,AG0529.0038,AG0529.0056,AG0529.0058,AG0529.0072,AG0529.0083,AG0529.0085,AG0529.0086,AG0529.0087,AG0529.0091,AG0529.0093,AG0529.0095,AG0529.0104,AG0529.0109,AG0529.0112,AG0529.0113,AG0529.0116,AG0529.0120,AG0529.0134,AG0529.0139,AG0529.0142,AG0529.0145,AG0529.0147,AG0529.0160,AG0529.0161,AG0529.0164,AG0529.0168,AG0529.0170,AG0529.0175,AG0529.0176,AG0529.0178,AG0529.0180,AG0529.0182,AG0529.0183,AG0529.0190,AG0529.0192,AG0529.0193,AG0529.0198,AG0529.0199,AG0529.0202,AG0529.0203,AG0529.0207,AG0529.0208,AG0529.0215,AG0529.0275,AG0529.0285,AG0529.0293,AG0529.0294,AG0529.0304,AG0529.0308,AG0529.0310,AG0529.0340,AG0529.0342,AG0529.0343,AG0529.0345,AG0529.0351,AG0529.0354,AG0529.0360,AG0529.0368,AG0529.0370,AG0529.0374,AG0529.0376,AG0529.0377,AG0529.0387,AG0529.0390,AG0529.0391,AG0529.0392,AG0529.0393,AG0529.0395,AG0529.0396,AG0529.0397,AG0529.0400,AG0529.0401,AG0529.0406,AG0529.0417,AG0529.0420,AG0529.0421,AG0529.0425,AG0529.0430,AG0529.0431,AG0529.0444,AG0529.0449,AG0529.0461,AG0529.0466,AG0529.0467,AG0529.0475,AG0529.0476,AG0529.0479,AG0529.0480,AG0529.0481,AG0529.0486,AG0529.0492,AG0529.0493,AG0529.0496,AG0529.0507,AG0529.0513,AG0529.0526,AG0529.0531,AG0529.0535,AG0529.0557,AG0529.0572,AG0529.0574,AG0529.0579,AG0529.0581,AG0529.0584,AG0529.0586,AG0529.0592,AG0529.0596,AG0529.0602,AG0529.0605,AG0529.0609,AG0529.0630,AG0529.0631,AG0529.0632,AG0529.0634,AG0529.0638,AG0529.0639,AG0529.0645,AG0529.0646,AG0529.0654,AG0529.0655,AG0529.0656,AG0529.0658,AG0529.0660,AG0529.0661,AG0529.0673,AG0529.0675,AG0529.0676,AG0529.0679,AG0529.0685,AG0529.0688,AG0529.0703,AG0529.0707,AG0529.0708,AG0529.0711,AG0529.0718,AG0529.0725,AG0529.0742,AG0529.0750,AG0529.0763,AG0529.0769,AG0529.0773,AG0529.0776,AG0529.0784,AG0529.0787,AG0529.0792,AG0529.0805,AG0529.0807,AG0529.0815,AG0529.0816,AG0529.0819,AG0529.0821,AG0529.0826,AG0529.0835,AG0529.0847,AG0529.0850,AG0529.0851,AG0529.0854,AG0529.0857,AG0529.0859,AG0529.0862,AG0529.0867,AG0529.0874,AG0529.0875,AG0529.0877,AG0529.0879,AG0529.0880,AG0529.0881,AG0529.0882,AG0529.0883,AG0529.0884,AG0529.0885,AG0529.0887,AG0529.0888,AG0529.0889,AG0529.0890,AG0529.0891,AG0529.0892,AG0529.0893,AG0529.0895,AG0529.0896,AG0529.0897,AG0529.0898,AG0529.0899,AG0529.0900,AG0529.0901,AG0529.0903,AG0529.0904,AG0529.0905,AG0529.0906,AG0529.0907,AG0529.0908,AG0529.0909,AG0529.0911,AG0529.0912,AG0529.0913,AG0529.0914,AG0529.0915,AG0529.0916,AG0529.0917,AG0529.0918,AG0529.0919,AG0529.0920,AG0529.0921,AG0529.0922,AG0529.0923,AG0529.0924,AG0529.0925,AG0529.0927,AG0529.0928,AG0529.0929,AG0529.0930,AG0529.0931,AG0529.0932,AG0529.0933,AG0529.0935,AG0529.0936,AG0529.0937,AG0529.0938,AG0529.0939,AG0529.0941,AG0529.0943,AG0529.0944,AG0529.0946,AG0529.0948,AG0529.0951,AG0529.0952,AG0529.0955,AG0529.0957,AG0529.0959,AG0529.0961,AG0529.0962,AG0529.0963,AG0529.0964,AG0529.0967,AG0529.0968,AG0529.0969,AG0529.0970,AG0529.0971,AG0529.0972,AG0529.0985,AG0529.0989,AG0529.0990,AG0529.0991,AG0529.0992,AG0529.0993,AG0529.0994,AG0529.0995,AG0529.0997,AG0529.1005,AG0529.1008,AG0529.1011,AG0529.1019,AG0529.1028,AG0529.1034,AG0529.1038,AG0529.1041,AG0529.1044,AG0529.1047,AG0529.1049,AG0529.1051,AG0529.1121,AG0529.1125,AG0529.1127,AG0529.1128,AG0529.1136,AG0529.1153,AG0529.1154,AG0529.1155,AG0529.1156,AG0529.1157,AG0529.1159,AG0529.1160,AG0529.1163,AG0529.1166,AG0529.1168,AG0529.1169,AG0529.1170,AG0529.1172,AG0529.1175,AG0529.1177,AG0529.1179
M00598:87:000000000-J7KGW:1:1101:10029:6599__kiwi2020__AG0529-0922__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,4,0,1,1,0,0,0,0,0,0,47,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:10082:12568__kiwi2020__AG0529-0835__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:10121:5055__kiwi2020__AG0529-0085__ITS1F,0,4,2,0,0,0,9,0,0,95,0,1,0,0,24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,6,2,0,6,7,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:10324:13741__kiwi2020__AG0529-1121__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,10,0,50,15,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:10717:20556__kiwi2020__AG0529-0170__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,14,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:10816:16981__kiwi2020__AG0529-0605__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:11118:18602__kiwi2020__AG0529-0879__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,3,0,0,0,2,0,0,5,0,0,5,1,0,0,2,1,0,0,3,1,1,0,0,5,0,1,10,31,43,3,21,4,0,0,0,0,0,0,24,3,4,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,2,0,1,1,7,0,1,2,3,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:11226:24373__kiwi2020__AG0529-0215__ITS1F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,165,0,0,1,0,0,0,4,0,0,0,0,7,149,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5,0,0,26,0,11,0,5,0,0,0,9,11,0,6,0,0,0,0,12,0,0,12,15,108,3,0,13,0,6,1,2,12,0,0,57,26,0,5,5,1,7,9,15,1,1,0,3,26,0,5,8,74,22,69,49,10,0,5,0,1,0,4,75,44,35,0,0,30,0,0,10,6,0,0,1,6,0,0,0,0,17,0,0,6,0,0,2,5,2,0,0,0,15,18,0,0,1,5,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,65,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:11238:24121__kiwi2020__AG0529-0922__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00598:87:000000000-J7KGW:1:1101:11389:12421__kiwi2020__AG0529-0285__ITS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,1,1,0,0,0,0,18,33,16,2,0,9,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
