OTU,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1101:10029:6599__kiwi2020__AG0529-0922__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_fasciculata|SH226440.06FU
M00598:87:000000000-J7KGW:1:1101:10082:12568__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Stromatonectria,Stromatonectria_caraganae|SH227333.06FU
M00598:87:000000000-J7KGW:1:1101:10121:5055__kiwi2020__AG0529-0085__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Byssochlamys,Byssochlamys_zollerniae|SH212240.06FU
M00598:87:000000000-J7KGW:1:1101:10324:13741__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH191095.06FU
M00598:87:000000000-J7KGW:1:1101:10717:20556__kiwi2020__AG0529-0170__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH189849.06FU
M00598:87:000000000-J7KGW:1:1101:10816:16981__kiwi2020__AG0529-0605__ITS1F,Fungi,Basidiomycota,Basidiomycota_unidentified,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1_1,Basidiomycota_sp|SH236831.06FU
M00598:87:000000000-J7KGW:1:1101:11118:18602__kiwi2020__AG0529-0879__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH233630.06FU
M00598:87:000000000-J7KGW:1:1101:11226:24373__kiwi2020__AG0529-0215__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum|SH217297.06FU
M00598:87:000000000-J7KGW:1:1101:11238:24121__kiwi2020__AG0529-0922__ITS1F,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Annulatascaceae,Conlarium,Conlarium_duplumascospora|SH225495.06FU
M00598:87:000000000-J7KGW:1:1101:11389:12421__kiwi2020__AG0529-0285__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH227414.06FU
M00598:87:000000000-J7KGW:1:1101:11440:18911__kiwi2020__AG0529-0208__ITS1F,Fungi,Ascomycota,Pezizomycetes,Pezizales,Rhizinaceae,Phymatotrichopsis,Phymatotrichopsis_omnivora|SH207548.06FU
M00598:87:000000000-J7KGW:1:1101:11479:7493__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH208255.06FU
M00598:87:000000000-J7KGW:1:1101:11489:23016__kiwi2020__AG0529-0008__ITS1F,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH208246.06FU
M00598:87:000000000-J7KGW:1:1101:11510:13769__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Chalara,Chalara_sp|SH215703.06FU
M00598:87:000000000-J7KGW:1:1101:11753:21323__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH210440.06FU
M00598:87:000000000-J7KGW:1:1101:11808:14131__kiwi2020__AG0529-0596__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Incertae_sedis_12_unidentified,Tremellales_sp|SH197180.06FU
M00598:87:000000000-J7KGW:1:1101:12114:24246__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Periconia,Periconia_sp|SH232015.06FU
M00598:87:000000000-J7KGW:1:1101:12544:24512__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,Pestalotiopsis_rhododendri|SH210426.06FU
M00598:87:000000000-J7KGW:1:1101:12947:24299__kiwi2020__AG0529-0467__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH231457.06FU
M00598:87:000000000-J7KGW:1:1101:12966:17347__kiwi2020__AG0529-0467__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_eichhorniae|SH224789.06FU
M00598:87:000000000-J7KGW:1:1101:13074:5647__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH232016.06FU
M00598:87:000000000-J7KGW:1:1101:13133:5553__kiwi2020__AG0529-0609__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_fristingensis|SH196962.06FU
M00598:87:000000000-J7KGW:1:1101:13187:13914__kiwi2020__AG0529-0655__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_cynaroidis|SH235593.06FU
M00598:87:000000000-J7KGW:1:1101:13481:14322__kiwi2020__AG0529-0924__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209361.06FU
M00598:87:000000000-J7KGW:1:1101:13710:2203__kiwi2020__AG0529-0093__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_laibachii|SH218729.06FU
M00598:87:000000000-J7KGW:1:1101:13832:13438__kiwi2020__AG0529-0911__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH228369.06FU
M00598:87:000000000-J7KGW:1:1101:13843:13758__kiwi2020__AG0529-0655__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Phlogicylindrium,Phlogicylindrium_sp|SH189868.06FU
M00598:87:000000000-J7KGW:1:1101:13934:22710__kiwi2020__AG0529-0857__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletellus,Boletellus_russellii|SH241467.06FU
M00598:87:000000000-J7KGW:1:1101:13950:7737__kiwi2020__AG0529-0916__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_lividum|SH213203.06FU
M00598:87:000000000-J7KGW:1:1101:14025:27194__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH215037.06FU
M00598:87:000000000-J7KGW:1:1101:14339:4140__kiwi2020__AG0529-0208__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Derxomyces,Derxomyces_wuzhishanensis|SH197673.06FU
M00598:87:000000000-J7KGW:1:1101:14343:9116__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:14364:4415__kiwi2020__AG0529-1127__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium,Capnodium_sp_FF_2011|SH241364.06FU
M00598:87:000000000-J7KGW:1:1101:14644:5796__kiwi2020__AG0529-0851__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia_rufa|SH203984.06FU
M00598:87:000000000-J7KGW:1:1101:14808:21435__kiwi2020__AG0529-0486__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_citreonigrum|SH193628.06FU
M00598:87:000000000-J7KGW:1:1101:15054:7802__kiwi2020__AG0529-0989__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Postia_floriformis|SH203228.06FU
M00598:87:000000000-J7KGW:1:1101:15093:3235__kiwi2020__AG0529-0929__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_burtonii|SH196952.06FU
M00598:87:000000000-J7KGW:1:1101:15135:6624__kiwi2020__AG0529-0912__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_sporotrichoides|SH195349.06FU
M00598:87:000000000-J7KGW:1:1101:15528:4841__kiwi2020__AG0529-0750__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Incertae_sedis_54,Phlebiella,Phlebiella_christiansenii|SH210789.06FU
M00598:87:000000000-J7KGW:1:1101:15865:9355__kiwi2020__AG0529-0293__ITS1F,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_restricta|SH206219.06FU
M00598:87:000000000-J7KGW:1:1101:15960:2763__kiwi2020__AG0529-1155__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon_sp|SH191147.06FU
M00598:87:000000000-J7KGW:1:1101:16344:2412__kiwi2020__AG0529-0374__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum_sp_HE2794|SH217929.06FU
M00598:87:000000000-J7KGW:1:1101:16345:18794__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH213440.06FU
M00598:87:000000000-J7KGW:1:1101:16362:9232__kiwi2020__AG0529-0923__ITS1F,Fungi,Basidiomycota,Basidiomycota_unidentified,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1_1,Basidiomycota_sp|SH198480.06FU
M00598:87:000000000-J7KGW:1:1101:16530:12321__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
M00598:87:000000000-J7KGW:1:1101:16561:12655__kiwi2020__AG0529-0994__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_annulare|SH226233.06FU
M00598:87:000000000-J7KGW:1:1101:16574:14394__kiwi2020__AG0529-0862__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH239595.06FU
M00598:87:000000000-J7KGW:1:1101:16628:11658__kiwi2020__AG0529-0531__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Trichocomaceae_unidentified,Trichocomaceae_sp|SH210311.06FU
M00598:87:000000000-J7KGW:1:1101:16666:27723__kiwi2020__AG0529-0787__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Stachybotrys,Stachybotrys_sp|SH227389.06FU
M00598:87:000000000-J7KGW:1:1101:16930:17228__kiwi2020__AG0529-0883__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_saturniforme|SH231535.06FU
M00598:87:000000000-J7KGW:1:1101:17348:8973__kiwi2020__AG0529-0673__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
M00598:87:000000000-J7KGW:1:1101:17462:17528__kiwi2020__AG0529-0294__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
M00598:87:000000000-J7KGW:1:1101:17576:15223__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH191096.06FU
M00598:87:000000000-J7KGW:1:1101:17652:6027__kiwi2020__AG0529-0178__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
M00598:87:000000000-J7KGW:1:1101:17901:7720__kiwi2020__AG0529-0392__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH210294.06FU
M00598:87:000000000-J7KGW:1:1101:18199:25088__kiwi2020__AG0529-0376__ITS1F,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus|SH236509.06FU
M00598:87:000000000-J7KGW:1:1101:18209:28983__kiwi2020__AG0529-0639__ITS1F,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium_aurantiacum|SH210194.06FU
M00598:87:000000000-J7KGW:1:1101:18260:24753__kiwi2020__AG0529-0134__ITS1F,Fungi,Ascomycota,Pezizomycetes,Pezizales,Rhizinaceae,Phymatotrichopsis,Phymatotrichopsis_omnivora|SH207548.06FU
M00598:87:000000000-J7KGW:1:1101:18311:2383__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_hoffmannii|SH226439.06FU
M00598:87:000000000-J7KGW:1:1101:18421:5632__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_samala|SH234978.06FU
M00598:87:000000000-J7KGW:1:1101:18621:21171__kiwi2020__AG0529-0638__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_salmonis|SH230199.06FU
M00598:87:000000000-J7KGW:1:1101:18653:4742__kiwi2020__AG0529-0091__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium_infirmominiatum|SH212071.06FU
M00598:87:000000000-J7KGW:1:1101:19125:27091__kiwi2020__AG0529-0421__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_unidentified,Sporidiobolales_unidentified_1,Sporidiobolales_sp|SH218905.06FU
M00598:87:000000000-J7KGW:1:1101:19139:3907__kiwi2020__AG0529-0912__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH195144.06FU
M00598:87:000000000-J7KGW:1:1101:19251:22172__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronemataceae_unidentified,Pyronemataceae_sp|SH226417.06FU
M00598:87:000000000-J7KGW:1:1101:19353:14141__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:19362:9983__kiwi2020__AG0529-0387__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_cresolica|SH212267.06FU
M00598:87:000000000-J7KGW:1:1101:19499:16820__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_raphiae|SH201044.06FU
M00598:87:000000000-J7KGW:1:1101:19597:7290__kiwi2020__AG0529-0959__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:19648:13069__kiwi2020__AG0529-0087__ITS1F,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Plectosphaerellaceae,Lectera,Lectera_longa|SH219644.06FU
M00598:87:000000000-J7KGW:1:1101:19660:9349__kiwi2020__AG0529-0086__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_flavus|SH225571.06FU
